Ques_ID_Prompt,Model,Model_Category,Question_Category,Answer_Rating_0_5,Electricity_consumption_Wh,CO2_Emission_gm,Inference_Timing_sec
1,Gemma 3nb,Small,Easy Factual,4,0.19,0.12,1.9
1,Llama 3.1 8b,Small,Easy Factual,5,9,6,3
1,Mistral Small,Medium,Easy Factual,4,0.77,0.44,2.8
1,GPT 20 OSS,Medium,Easy Factual,5,0.37,0.23,2.5
1,GPT 5,Large,Easy Factual,5,1.52,0.93,12
1,DeepSeek R1,Large,Easy Factual,4,18,11,15
2,Gemma 3nb,Small,Easy Factual,5,0.29,0.18,4
2,Llama 3.1 8b,Small,Easy Factual,1,15,9,4
2,Mistral Small,Medium,Easy Factual,5,0.33,0.2,2
2,GPT 20 OSS,Medium,Easy Factual,4,1.25,0.77,3
2,GPT 5,Large,Easy Factual,5,15,9,4
2,DeepSeek R1,Large,Easy Factual,1,37,23,3.5
3,Gemma 3nb,Small,Easy Factual,5,1.13,0.7,4
3,Llama 3.1 8b,Small,Easy Factual,4,11,6,5
3,Mistral Small,Medium,Easy Factual,4,2,1.26,3
3,GPT 20 OSS,Medium,Easy Factual,5,1.11,0.68,4
3,GPT 5,Large,Easy Factual,4,39,24,5
3,DeepSeek R1,Large,Easy Factual,5,54,33,6
4,Gemma 3nb,Small,Easy Factual,5,0.75,0.46,3.5
4,Llama 3.1 8b,Small,Easy Factual,4,5,3,4.5
4,Mistral Small,Medium,Easy Factual,5,1.31,0.8,2.5
4,GPT 20 OSS,Medium,Easy Factual,4,0.94,0.58,3
4,GPT 5,Large,Easy Factual,5,5,3,2.5
4,DeepSeek R1,Large,Easy Factual,4,26,16,3
5,Gemma 3nb,Small,Easy Factual,5,0.13,0.08,3.5
5,Llama 3.1 8b,Small,Easy Factual,3,7,5,4.7
5,Mistral Small,Medium,Easy Factual,5,0.23,0.14,3
5,GPT 20 OSS,Medium,Easy Factual,4,0.49,0.3,4.1
5,GPT 5,Large,Easy Factual,5,1.19,0.73,3
5,DeepSeek R1,Large,Easy Factual,4,26,16,2
6,Gemma 3nb,Small,Easy Factual,5,2,1.53,2
6,Llama 3.1 8b,Small,Easy Factual,4,14,9,3
6,Mistral Small,Medium,Easy Factual,5,5,3,4
6,GPT 20 OSS,Medium,Easy Factual,4,4,3,3.5
6,GPT 5,Large,Easy Factual,4,31,29,3
