Ques_ID_Prompt,Model,Answer_Rating_0_5,Electricity_consumption_Wh,CO2_Emission_gm,Inference_Timing_sec
1,Gemma 3nb,4,0.19,0.12,1.9
1,Llama 3.1 8b,5,9,6,3
1,Mistral Small,4,0.77,0.44,2.8
1,GPT 20 OSS,5,0.37,0.23,2.5
1,GPT 5,5,1.52,0.93,12
1,DeepSeek R1,4,18,11,15
2,Gemma 3nb,5,0.29,0.18,4
2,Llama 3.1 8b,1,15,9,4
2,Mistral Small,5,0.33,0.2,2
2,GPT 20 OSS,4,1.25,0.77,3
2,GPT 5,5,15,9,4
2,DeepSeek R1,1,37,23,3.5
3,Gemma 3nb,5,1.13,0.7,4
3,Llama 3.1 8b,4,11,6,5
3,Mistral Small,4,2,1.26,3
3,GPT 20 OSS,5,1.11,0.68,4
3,GPT 5,4,39,24,5
3,DeepSeek R1,5,54,33,6
4,Gemma 3nb,5,0.75,0.46,3.5
4,Llama 3.1 8b,4,5,3,4.5
4,Mistral Small,5,1.31,0.8,2.5
4,GPT 20 OSS,4,0.94,0.58,3
4,GPT 5,5,5,3,2.5
4,DeepSeek R1,4,26,16,3
5,Gemma 3nb,5,0.13,0.08,3.5
5,Llama 3.1 8b,3,7,5,4.7
5,Mistral Small,5,0.23,0.14,3
5,GPT 20 OSS,4,0.49,0.3,4.1
5,GPT 5,5,1.19,0.73,3
5,DeepSeek R1,4,26,16,2
6,Gemma 3nb,5,2,1.53,2
6,Llama 3.1 8b,4,14,9,3
6,Mistral Small,5,5,3,4
6,GPT 20 OSS,4,4,3,3.5
6,GPT 5,4,31,29,3
6,DeepSeek R1,5,19,18,4
7,Gemma 3nb,5,0.25,0.16,2
7,Llama 3.1 8b,3,5,3,3
7,Mistral Small,4,0.7,0.43,2.5
7,GPT 20 OSS,3,0.42,0.26,4.5
7,GPT 5,2,5,3,12
7,DeepSeek R1,1,35,22,13.5
8,Gemma 3nb,4,1.03,10,11.5
8,Llama 3.1 8b,5,0.63,6,12
8,Mistral Small,3,2,1.35,4
8,GPT 20 OSS,4,0.99,0.61,5
8,GPT 5,3,24,15,3.5
8,DeepSeek R1,2,39,24,4.5
9,Gemma 3nb,4,0.55,0.34,6
9,Llama 3.1 8b,2,3,2,6.5
9,Mistral Small,5,0.39,0.24,2
9,GPT 20 OSS,4,0.83,0.51,2.5
9,GPT 5,3,6,4,11
9,DeepSeek R1,3,30,19,13
10,Gemma 3nb,4,0.91,0.56,8
10,Llama 3.1 8b,3,15,9,8.5
10,Mistral Small,2,1.45,0.89,11
10,GPT 20 OSS,4,0.72,0.45,12.4
10,GPT 5,2,31,19,11
10,DeepSeek R1,5,39,24,12
11,Gemma 3nb,5,0.77,0.47,11
11,Llama 3.1 8b,3,9,5,12
11,Mistral Small,3,6,4,9.5
11,GPT 20 OSS,4,3,1.91,10
11,GPT 5,2,11,7,152
11,DeepSeek R1,1,168,103,150
12,Gemma 3nb,5,1.09,0.67,14
12,Llama 3.1 8b,3,8,5,15
12,Mistral Small,4,4,2,11.5
12,GPT 20 OSS,3,4,2,12.4
12,GPT 5,4,11,7,68
12,DeepSeek R1,1,103,63,68.5
13,Gemma 3nb,4,0.88,0.54,25.8
13,Llama 3.1 8b,0,27,16,26
13,Mistral Small,2,4,2,10.5
13,GPT 20 OSS,2,3,1.98,11.5
13,GPT 5,0,43,97,127
13,DeepSeek R1,3,159,26,126.5
14,Gemma 3nb,5,0.99,0.61,5.6
14,Llama 3.1 8b,3,7,4,6.9
14,Mistral Small,2,1.37,0.84,3.5
14,GPT 20 OSS,4,0.37,0.23,4
14,GPT 5,4,14,9,6.5
14,DeepSeek R1,3,38,24,7
15,Gemma 3nb,5,0.59,0.36,1.5
15,Llama 3.1 8b,2,7,4,1.6
15,Mistral Small,3,2,1.33,9
15,GPT 20 OSS,4,1.97,1.22,9.5
15,GPT 5,3,22,13,21
15,DeepSeek R1,2,37,23,21.5
